timestamp,words,time,f05,err,gleu,grade_level,language,style,model
2025-10-18 13:54:02,53,1.05,0.493,18.87%,0.347,4.55,English,Default,llama3.2
2025-10-18 13:54:06,53,1.27,0.493,18.87%,0.347,4.55,English,Default,mistral
2025-10-18 13:54:21,53,10.52,0.562,28.30%,0.346,4.29,English,Default,deepseek-r1:7b
2025-10-18 13:54:30,53,4.69,0.512,20.75%,0.286,4.55,English,Default,gemma3
2025-10-18 13:55:00,114,1.79,0.413,13.27%,0.545,6.82,English,Default,llama3.2
2025-10-18 13:55:10,114,2.45,0.431,14.16%,0.542,6.79,English,Default,mistral
2025-10-18 13:55:32,114,17.40,0.498,18.58%,0.538,6.27,English,Default,deepseek-r1:7b
2025-10-18 13:55:46,114,5.68,0.445,15.04%,0.514,6.88,English,Default,gemma3
2025-10-18 13:56:52,789,9.53,0.270,6.98%,0.812,6.83,English,Default,llama3.2
2025-10-18 13:57:40,789,16.61,0.208,5.04%,0.825,6.99,English,Default,mistral
2025-10-18 13:58:20,789,25.85,0.661,44.32%,0.340,7.14,English,Default,deepseek-r1:7b
2025-10-18 13:59:02,789,16.98,0.312,8.53%,0.747,7.01,English,Default,gemma3
