f05,err,gleu,grade_level,style,model
0.594,39.66,0.214,14,Academic,deepseek-r1:7b
0.571,39.64,0.212,14,Academic,deepseek-r1:7b
0.645,39.71,0.264,14,Academic,deepseek-r1:7b
0.61,39.77,0.211,14,Academic,deepseek-r1:7b
0.598,39.67,0.27,14,Academic,deepseek-r1:7b
0.615,23.26,0.384,14,Academic,gemma3
0.522,23.33,0.309,14,Academic,gemma3
0.571,23.29,0.441,14,Academic,gemma3
0.569,23.27,0.34,14,Academic,gemma3
0.481,23.27,0.41,14,Academic,gemma3
0.58,28.53,0.24,14,Academic,llama3.2
0.587,28.56,0.307,14,Academic,llama3.2
0.548,28.39,0.293,14,Academic,llama3.2
0.541,28.51,0.231,14,Academic,llama3.2
0.577,28.39,0.287,14,Academic,llama3.2
0.685,30.2,0.298,14,Academic,mistral
0.612,30.17,0.347,14,Academic,mistral
0.564,30.19,0.235,14,Academic,mistral
0.544,30.2,0.255,14,Academic,mistral
0.61,30.13,0.384,14,Academic,mistral
0.573,30.07,0.158,8,Casual,deepseek-r1:7b
0.578,30.23,0.257,8,Casual,deepseek-r1:7b
0.486,30.17,0.14,8,Casual,deepseek-r1:7b
0.638,30.22,0.126,8,Casual,deepseek-r1:7b
0.573,30.19,0.187,8,Casual,deepseek-r1:7b
0.675,28.64,0.274,7,Casual,gemma3
0.525,28.58,0.305,7,Casual,gemma3
0.599,28.6,0.29,7,Casual,gemma3
0.459,28.6,0.244,7,Casual,gemma3
0.591,28.58,0.307,7,Casual,gemma3
0.577,28.55,0.146,7,Casual,llama3.2
0.596,28.61,0.289,7,Casual,llama3.2
0.58,28.62,0.2,7,Casual,llama3.2
0.521,28.66,0.251,7,Casual,llama3.2
0.557,28.59,0.253,7,Casual,llama3.2
0.524,30.17,0.121,8,Casual,mistral
0.506,30.18,0.245,8,Casual,mistral
0.549,30.17,0.304,8,Casual,mistral
0.521,30.11,0.275,8,Casual,mistral
0.551,30.22,0.286,8,Casual,mistral
0.547,17.7,0.49,17,Formal,deepseek-r1:7b
0.553,17.58,0.488,17,Formal,deepseek-r1:7b
0.496,17.7,0.544,17,Formal,deepseek-r1:7b
0.487,17.64,0.527,17,Formal,deepseek-r1:7b
0.466,17.59,0.517,17,Formal,deepseek-r1:7b
0.412,13.22,0.545,17,Formal,gemma3
0.37,13.24,0.546,17,Formal,gemma3
0.459,13.29,0.526,17,Formal,gemma3
0.428,13.2,0.532,17,Formal,gemma3
0.437,13.26,0.608,17,Formal,gemma3
0.55,16.94,0.511,17,Formal,llama3.2
0.476,16.98,0.552,17,Formal,llama3.2
0.465,16.91,0.451,17,Formal,llama3.2
0.51,16.86,0.391,17,Formal,llama3.2
0.427,16.92,0.502,17,Formal,llama3.2
0.509,17.61,0.454,17,Formal,mistral
0.404,17.6,0.551,17,Formal,mistral
0.424,17.64,0.445,17,Formal,mistral
0.486,17.74,0.396,17,Formal,mistral
0.437,17.61,0.461,17,Formal,mistral
0.483,20.38,0.441,17,Professional,deepseek-r1:7b
0.439,20.41,0.549,17,Professional,deepseek-r1:7b
0.498,20.38,0.46,17,Professional,deepseek-r1:7b
0.494,20.47,0.467,17,Professional,deepseek-r1:7b
0.562,20.41,0.502,17,Professional,deepseek-r1:7b
0.333,12.45,0.62,18,Professional,gemma3
0.428,12.37,0.514,18,Professional,gemma3
0.375,12.45,0.506,18,Professional,gemma3
0.373,12.42,0.481,18,Professional,gemma3
0.377,12.39,0.637,18,Professional,gemma3
0.407,15.32,0.461,18,Professional,llama3.2
0.37,15.28,0.596,18,Professional,llama3.2
0.369,15.36,0.47,18,Professional,llama3.2
0.398,15.29,0.467,18,Professional,llama3.2
0.368,15.37,0.438,18,Professional,llama3.2
0.435,14.54,0.479,18,Professional,mistral
0.452,14.62,0.571,18,Professional,mistral
0.452,14.7,0.524,18,Professional,mistral
0.406,14.57,0.509,18,Professional,mistral
0.433,14.66,0.672,18,Professional,mistral
0.602,39.65,0.259,14,Academic,deepseek-r1:7b
0.551,39.63,0.204,14,Academic,deepseek-r1:7b
0.632,39.7,0.195,14,Academic,deepseek-r1:7b
0.667,39.66,0.201,14,Academic,deepseek-r1:7b
0.519,39.66,0.147,14,Academic,deepseek-r1:7b
0.445,23.28,0.44,14,Academic,gemma3
0.5,23.29,0.326,14,Academic,gemma3
0.544,23.37,0.391,14,Academic,gemma3
0.449,23.36,0.405,14,Academic,gemma3
0.54,23.34,0.345,14,Academic,gemma3
0.521,28.43,0.277,14,Academic,llama3.2
0.572,28.47,0.232,14,Academic,llama3.2
0.633,28.48,0.311,14,Academic,llama3.2
0.632,28.34,0.235,14,Academic,llama3.2
0.669,28.44,0.314,14,Academic,llama3.2
0.523,30.16,0.377,14,Academic,mistral
0.593,30.28,0.372,14,Academic,mistral
0.509,30.13,0.407,14,Academic,mistral
0.684,30.18,0.327,14,Academic,mistral
0.504,30.26,0.326,14,Academic,mistral
